Wall time,Step,Value
1538627539,3374,1.022902608
1538627539,3376,0.923121452
1538627539,3378,0.819654405
1538627539,3380,0.8887797
1538627539,3383,1.096305847
1538627539,3388,0.839169025
1538627539,3400,0.578853428
1538627539,3405,0.549896002
1538627540,3410,0.63492763
1538627540,3428,0.764727533
1538627540,3432,1.096544027
1538627540,3435,0.988999665
1538627540,3440,0.801737785
1538627540,3446,0.631968737
1538627540,3447,0.608078599
1538627540,3451,0.573068559
1538627540,3453,0.547753155
1538627540,3459,0.6350559
1538627540,3460,0.857054949
1538627540,3466,1.40829289
1538627540,3473,0.97423619
1538627541,3479,1.021037817
1538627541,3482,1.04968822
1538627541,3488,0.793097198
1538627541,3499,0.586229801
1538627541,3501,0.56208837
1538627541,3508,0.635172546
1538627541,3511,1.050703645
1538627541,3514,1.487053633
1538627541,3516,1.330684066
1538627541,3521,1.02346921
1538627541,3537,0.793236494
1538627541,3539,0.787629545
1538627541,3540,0.750599325
1538627542,3544,0.632199705
1538627542,3545,0.608300924
1538627542,3549,0.573275328
1538627542,3551,0.547951043
1538627542,3557,0.635278583
1538627542,3558,0.857334793
1538627542,3561,1.407667279
1538627542,3565,1.330879927
1538627542,3577,1.13980341
1538627542,3582,0.989523649
1538627542,3585,0.839790225
1538627542,3594,0.608397186
1538627542,3595,0.593583822
1538627542,3601,0.550292611
1538627542,3602,0.541985571
1538627543,3616,1.170404673
1538627543,3620,0.974676073
1538627543,3622,0.86687547
1538627543,3624,0.765223563
1538627543,3627,1.139976025
1538627543,3630,0.999046922
1538627543,3639,0.720232069
1538627543,3645,0.579362869
1538627543,3647,0.573446333
1538627543,3658,1.051157355
1538627543,3659,1.408030748
1538627543,3665,1.170544267
1538627544,3672,0.820452452
1538627544,3696,0.573521376
1538627544,3697,0.562425852
1538627544,3699,0.550442338
1538627544,3702,0.611229956
1538627544,3704,0.635543168
1538627544,3725,1.140279531
1538627545,3728,0.999304891
1538627545,3732,0.840124607
1538627545,3733,0.79368031
1538627545,3734,0.802470028
1538627545,3740,0.63255024
1538627545,3743,0.579510033
1538627545,3745,0.573589385
1538627545,3747,0.548252165
1538627545,3754,0.857749701
1538627545,3758,1.554427624
1538627545,3761,1.331481934
1538627545,3766,1.024097443
1538627545,3774,1.14041245
1538627545,3778,0.990028679
1538627545,3780,0.88340497
1538627545,3782,0.793768227
1538627546,3795,0.562553644
1538627546,3797,0.55056721
1538627546,3800,0.611366332
1538627546,3812,1.170885086
1538627546,3816,0.975086927
1538627546,3821,0.889961183
1538627546,3823,1.140534759
1538627546,3833,0.788220584
1538627546,3835,0.720562935
1538627546,3837,0.649060905
1538627547,3850,0.602319956
1538627547,3856,1.554674029
1538627547,3866,0.924364209
1538627547,3871,1.022117853
1538627547,3878,0.883574903
1538627547,3881,0.802708089
1538627547,3883,0.751234472
1538627548,3903,1.051672101
1538627548,3904,1.408668399
1538627548,3905,1.554777503
1538627548,3910,1.171055794
1538627548,3912,1.056415915
1538627548,3918,0.76567781
1538627548,3922,1.098036528
1538627548,3930,0.802773893
1538627548,3931,0.788354516
1538627548,3936,0.608874381
1538627548,3937,0.608874381
1538627548,3941,0.57380867
1538627548,3952,1.051747918
1538627549,3958,1.243162274
1538627549,3964,0.924491465
1538627549,3967,0.765730023
1538627549,3978,0.794049978
1538627549,3982,0.720742643
1538627549,3986,0.608921289
1538627549,3988,0.579781651
1538627549,3993,0.550759435
1538627549,3997,0.602469146
1538627549,4002,1.40884006
1538627549,4007,1.243229032
1538627549,4011,1.024465919
1538627549,4012,0.975353718
1538627549,4014,0.86748755
1538627550,4023,0.990448892
1538627550,4024,0.936174393
1538627550,4035,0.608964324
1538627550,4037,0.579823196
1538627550,4038,0.586961865
1538627550,4045,0.611617565
1538627550,4047,0.635940135
